Stepsize	LIE	CNE	EXE	LIM	CNM	EXM
0.03125	0.0489	0.0428	0.043	0.0327	0.0195	0.0201
0.015625	0.034	0.0301	0.0301	0.0203	0.0111	0.0108
0.0078125	0.0234	0.0212	0.0211	0.0126	0.0062	0.0058
0.00390625	0.0166	0.0154	0.0153	0.0081	0.0038	0.0033
0.001953125	0.0116	0.0108	0.0107	0.0055	0.0027	0.0025
