Stepsize	LIE	CNE	EXE	LIM	CNM	EXM
0.03125	0.09	0.061	0.0476	0.0809	0.0445	0.0213
0.015625	0.0631	0.0401	0.0318	0.0572	0.0275	0.011
0.0078125	0.0453	0.0282	0.0234	0.0403	0.0179	0.0057
0.00390625	0.0318	0.0191	0.0164	0.0285	0.011	0.0031
0.001953125	0.0225	0.0131	0.0116	0.0201	0.0069	0.0018
