Stepsize	LIE	CNE	EXE	LIM	CNM	EXM
0.03125	0.056	0.055	0.0552	0.0344	0.0311	0.0316
0.015625	0.0375	0.036	0.036	0.0205	0.0162	0.0161
0.0078125	0.0255	0.0243	0.0242	0.0125	0.0087	0.0084
0.00390625	0.0181	0.0171	0.0171	0.008	0.0049	0.0046
0.001953125	0.0122	0.0116	0.0115	0.0054	0.0031	0.0029
