Stepsize	LIE	CNE	EXE	LIM	CNM	EXM
0.03125	0.094	0.062	0.0485	0.0853	0.0456	0.0229
0.015625	0.0656	0.0405	0.0321	0.0599	0.028	0.0118
0.0078125	0.0467	0.0284	0.0236	0.0419	0.0181	0.0061
0.00390625	0.0326	0.0192	0.0165	0.0293	0.0111	0.0033
0.001953125	0.0229	0.0132	0.0116	0.0205	0.0069	0.0019
