Stepsize	LIE	CNE	EXE	LIM	CNM	EXM
0.03125	0.0855	0.0655	0.054	0.0751	0.0487	0.0313
0.015625	0.0619	0.0435	0.0361	0.0543	0.0297	0.016
0.0078125	0.0444	0.0295	0.025	0.0387	0.0187	0.0082
0.00390625	0.0312	0.0195	0.0168	0.0275	0.0113	0.0043
0.001953125	0.0222	0.0133	0.0118	0.0196	0.007	0.0023
